축제명,개최장소,축제시작일자,축제종료일자,축제내용,전화번호,홈페이지주소,소재지도로명주소,소재지지번주소,위도,경도,,,,,
한여름밤의 예술공연,탑동해변공연장,2023-07-27,2023-08-02,도내 예술단체 공연(댄스·노래 등),,,제주특별자치도 제주시 중앙로 2,,,,,,,,
아트페스타인제주,탐라문화광장+산지천 일대,2023-10-13,2023-10-22,도내외 미술작가 실내외 전시+시민참여 특별전시 프로그램,,,,제주특별자치도 제주시 일도1동 1146-22,,,,,,,
찾아가는 문화예술공연,동제주사회복지관,2023-06-03,2023-06-03,음악+댄스 등,,,제주특별자치도 제주시 조천읍 신북로 501-1,,,,,,,,
찾아가는 문화예술공연,한림체육관,2023-07-07,2023-07-07,음악+댄스 등,,,제주특별자치도 제주시 한림읍 한림중앙로 71-9,,,,,,,,
사천예술제,사천문화예술회관 대공연장,2023-11-04,2023-11-04,문화공연,,,경상남도 사천시 삼천포대교로 471,,,,,,,,
2022 양산봄꽃축제,신기동 양산천둔치 유채꽃단지 일원,2022-04-05,2022-04-13,"(축제취소)튤립동산, 포토존, 풍차, 꽃탑 등",055-392-5343,,경상남도 양산시 신기강변로 26(신기동),경상남도 양산시 북부동 671-1,35.35002163,129.0341247,,,,,
원동미나리축제,원동면 일원,2023-02-11,2023-04-30,"미나리 시식회 및 특산물 판매, 원동미나리 직판장 개설운영",055-392-3232,http://tour.yangsan.go.kr/,경상남도 양산시 원동면 원동로 1708,경상남도 양산시 원동면 원리 414-8,35.38015379,128.9211173,,,,,
배내골고로쇠축제,배내골홍보관,2023-03-01,2022-03-31,"(축제취소)고로쇠 시음회, 체험행사, 문화공연 등",055-392-3232,http://tour.yangsan.go.kr/,경상남도 양산시 원동면 배내로 431,경상남도 양산시 원동면 선리 1421-5,35.4865568,128.985548,,,,,
원동매화축제,원동면 일원,2023-03-11,2023-03-12,"축하공연, 특산물 판매장, 포토존, 거리초크아트 등",055-392-2548,,경상남도 양산시 원동면 원동로 2220,경상남도 양산시 원동면 영포리 537,35.42085217,128.9410364,,,,,
양산시청소년한마음축제,양산문화예술회관,2023-05-20,2023-05-20,"시상식, 축하공연, 경연대회 등",055-392-2594,,경상남도 양산시 중앙로 39-1,경상남도 양산시 남부동 874-1,35.33345033,129.0367575,,,,,
2022 양산 월드 힙합 어벤져스,황산공원,2022-05-27,2022-05-29,"개막식, 축하공연, 힙합댄스 경연대회, DJ/EDM파티 등",055-392-2544,,경상남도 양산시 낙동로 295-9,경상남도 양산시 물금읍 물금리 172-2,35.30173083,128.9895949,,,,,
2023 양산웅상회야제,"웅상체육공원, 회야강 일원",2023-05-20,2023-05-21,"개막식, 폐막식, 공연, 시민참여 행사 등",055-392-6182,,경상남도 양산시 배움터길 60-19,경상남도 양산시 평산동 283,35.37762612,129.1434299,,,,,
어린이날 가족한마당,웅상체육공원,2023-05-05,2023-05-05,"개회식, 공연, 초등학생 트로트 경연, 부대행사 등",055-392-6283,,경상남도 양산시 배움터길 60-19,경상남도 양산시 평산동 283,35.37762612,129.1434299,,,,,
2023 양산삽량문화축전,양산천 둔치 및 양산종합운동장 일원,2023-10-07,2023-10-08,"개폐막식, 축하공연, 불꽃쇼, 테마존, 키즈존, 전시 및 체험프로그램, 부대행사 등",055-392-2544,yangsanfes.com,경상남도 양산시 양산대로 849,경상남도 양산시 북부동 533,35.34855992,129.0354984,,,,,
현인가요제,송도해수욕장,2023-08-04,2023-08-06,개막행사+현인가요제 전야제+현인가요제 본선,02-2655-3157,http://culture.bsseogu.go.kr,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502,,,,,
부산고등어축제,송도해수욕장 및 부산공동어시장 일원,2023-10-27,2023-10-29,개막행사+맨손으로 고등어잡기+고등어 주제공연+종이배 경주대회+고등어캐릭터 전시+고등어 스탬프투어+먹거리장터 등,051-240-4062,http://www.busangde.co.kr,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502,,,,,
군포철쭉축제,철쭉동산+철쭉공원+초막골생태공원+산본로데오거리+군포시 일원,2023-04-28,2023-04-30,공연+전시+체험+놀이+먹거리 부스 등 운영,031-390-0063,http://gunpofestival.org/,경기도 군포시 고산로 451,경기도 군포시 산본동 1153,37.353185,126.9257606,,,,,
연천구석기축제,연천전곡리유적,2024-05-03,2024-05-06,선사문화체험+전시+이벤트,031-839-2378,https://www.yeoncheon.go.kr/festival/,경기도 연천군 전곡읍 양연로 1510,경기도 연천군 전곡읍 전곡리 515,38.01564838,127.0614526,,,,,
천안흥타령춤축제,삼거리공원,2023-10-05,2023-10-09,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,041-900-7020,,충청남도 천안시 서북구 번영로 208,,36.81910075,127.1133052,,,,,
입장거봉포도축제,입장거봉포도휴게소,2022-09-02,2022-09-12,입장거봉포도 휴게소 내 드라이브스루 시식코너+판매장 운영,041-521-6847,,충청남도 천안시 서북구 입장면 하장4길 19,,36.91362961,127.2197586,,,,,
천안성환배축제,성환문화회관,2022-10-17,2022-10-28,성환배 판매장 운영(일자 변경 가능),041-581-1771,,충청남도 천안시 서북구 성환읍 성진로 15,,36.91253596,127.1366796,,,,,
천안호두축제,광덕쉼터,2022-10-08,2022-10-09,천안호두 드라이브스루 판매 및 홍보영상제작,041-521-4701,,충청남도 천안시 동남구 광덕면 광덕리 403,,36.67384328,127.053876,,,,,
고창모양성제,모양성 일원,2023-10-19,2023-10-23,거리퍼레이드+답성놀이+강강술래 등,063-560-2949,http://www.gochang.go.kr/tour/,전라북도 고창군 고창읍 중앙로 292,전라북도 고창군 고창읍 교촌리 55-2,35.43534518,126.7066502,,,,,
2023년 청소년수련관방과후아카데미 & 문화프로그램 수료식 및 발표회,청소년수련관,2023-12-16,2023-12-16,수료식+ 발표회 등,061-749-3114,https://www.suncheon.go.kr/tour/,전라남도 순천시 금곡길 20,,,,,,,,
사랑의 땔감나누어주기 행사,순천시 일원,2023-12-18,2023-12-29,땔감 나눔행사,061-749-3114,https://www.suncheon.go.kr/tour/,전라남도 순천시 장명로 30 순천시청,,,,,,,,
죽도봉 해돋이 음악회&소망리본달기,죽도봉,2023-12-31,2023-12-31,해돋이+ 음악회+ 소망리본 달기 행사 등,061-749-3114,https://www.suncheon.go.kr/tour/,,전라남도 순천시 조곡동 295-8,,,,,,,
삼산동 사랑의 김장김치 나눔행사,삼산동 행정복지센터,2023-12-01,2023-12-31,김장김치 나눔행사,061-749-3114,https://www.suncheon.go.kr/tour/,전라남도 순천시 삼산로 3 삼산동행정복지센터,,,,,,,,
조강훈 컬렉션展,조강훈 아트스튜디오,2023-12-01,2023-12-31,조강훈 작가의 개인 전시전,061-749-3114,https://www.suncheon.go.kr/tour/,전라남도 순천시 금곡길 22,,,,,,,,
도서관 사람들의 날,미정,2023-12-01,2023-12-31,도서관 유공자 표창+ 독서활동 시상 등,061-749-3114,https://www.suncheon.go.kr/tour/,전라남도 순천시 장명로 30 순천시청,,,,,,,,
송년음악회,문화예술회관 대극장,2023-12-01,2023-12-31,분위기 있는 연말을 위한 송년 음악회,061-749-3114,https://www.suncheon.go.kr/tour/,전라남도 순천시 삼산로 16 순천문화예술회관,,,,,,,,
순천시 사회복지인의 밤 행사,미정,2023-12-01,2023-12-31,식전공연+ 사회복지 유공자 표창 등,061-749-3114,https://www.suncheon.go.kr/tour/,전라남도 순천시 장명로 30 순천시청,,,,,,,,
와온해넘이 행사,와온해변,2023-12-01,2023-12-31,2023년 마지막 해를 보내는 시간,061-749-3114,https://www.suncheon.go.kr/tour/,전라남도 순천시 해룡면 와온길 133 와온관광문화관,,,,,,,,
제30회 성산일출축제,서귀포시 성산일출봉 일원,2022-12-31,2023-01-01,코로나19 종식 기원 제주 큰굿+성산 10경+열린 음악회 등,064-760-4281,https://www.sunrisefestival.kr/welcome,제주특별자치도 서귀포시 성산읍 일출로 284-12,제주특별자치도 서귀포시 성산읍 성산리 85,33.46223376,126.9368007,,,,,
제22회 최남단 방어축제,모슬포항 일원,2022-11-26,2022-12-25,청정 바다의 흥과멋과 맛의 향연,064-794-8032,http://bangeofestival.com/introduction,제주특별자치도 서귀포시 대정읍 최남단해안로 66,제주특별자치도 서귀포시 대정읍 하모리 770-28,33.21449893,126.2520491,,,,,
제29회 덕수리 전통민속 재현행사,덕수리민속공연장 (제주조각공원운동장),2022-10-07,2022-10-08,전통민속 재현,064-760-4313,https://seogwipo.go.kr/festivals/deoksuri/info/intro.htm,제주특별자치도 서귀포시 안덕면 일주서로 1836,제주특별자치도 서귀포시 안덕면 덕수리 산 27,33.2541298,126.3222874,,,,,
2022 중문 칠선녀축제,중문관광단지 및 천제연폭포 일원,2022-11-05,2022-11-06,지역특화 콘텐츠 홍보+사진전,064-760-4824,https://seogwipo.go.kr/festivals/sevenbeauty/info/intro.htm,제주특별자치도 서귀포시 천제연로 132 중문관광단지,제주특별자치도 서귀포시 중문동 2232,33.252662,126.418354,,,,,
제28회 제주 성읍마을 전통민속재현축제,제주성읍마을 남문광장,2022-10-09,2022-10-09,초가집줄놓기+전통혼례식 등,064-760-4417,https://seogwipo.go.kr/festivals/seongeup/info/intro.htm,제주특별자치도 서귀포시 표선면 성읍정의현로 30,제주특별자치도 서귀포시 표선면 성읍리 855-1,33.384904,126.8014971,,,,,
제11회 혼인지축제,성산읍 온평리 일원 (황루알~혼인지),2022-10-15,2022-10-16,길트기+삼공주 추원제+민속경기+향토음식경연 등,064-760-4282,https://seogwipo.go.kr/festivals/marriage/info/intro.htm,제주특별자치도 서귀포시 성산읍 온평애향로23번길 6,제주특별자치도 서귀포시 성산읍 온평리 산 840-1,33.40812252,126.9001736,,,,,
팔봉산 감자축제,팔봉면 양길리 주차장,2022-06-25,2022-06-26,감자캐기 체험+판매,041-660-3937,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 팔봉면 팔봉산로 100,충청남도 서산시 팔봉면 양길리 820,,,,,,,
(코로나로 일정 미정)서산6쪽마늘축제,해미읍성,2021-06-24,2021-07-21,6쪽마늘 판매+공연+체험,041-660-3937,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 해미면 남문2로 143,,,,,,,,
삼길포우럭축제,대산읍 화곡리 삼길포항,2022-07-29,2022-07-31,우럭체험 및 전시+판매,041-660-2069,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 대산읍 삼길포1로 65,,,,,,,,
서산해미읍성축제,해미읍성,2022-10-07,2022-10-09,전통문화 공연 및 체험 등,041-660-2228,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 해미면 남문2로 143,,,,,,,,
한강 낙동강 발원지 축제,황지연못(문화광장)+중앙로+ 검룡소 등,2023-07-28,2023-08-06,물놀이난장+공연+체험행사+부스 운영 등,033-553-6900,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,강원특별자치도 태백시장성동 169-1,37.10051315,129.0082172,,,,,
삼수 매봉산 바람개비 축제,매봉산 일원,2023-08-04,2023-08-06,공연+체험프로그램+부스운영 등,033-552-1376,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,강원특별자치도 태백시장성동 169-1,37.10051315,129.0082172,,,,,
장성 탄탄마을 축제,장성중앙시장 일원 및 로드엔드 옆 소방도로,2023-09-09,2023-09-10,공연+체험프로그램+부스운영 등,033-581-6903,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,강원특별자치도 태백시장성동 169-1,37.10051315,129.0082172,,,,,
태백 황지연못 황부자며느리 축제,횡지연못(문화광장) 일원,2023-09-23,2023-09-25,마당극+걷기행사+가요제+야시장,033-552-1370,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,강원특별자치도 태백시장성동 169-1,37.10051315,129.0082172,,,,,
철암 단풍축제,철암단풍군락지 일원,2023-10-13,2023-10-15,단풍길걷기대회+전시회+먹거리장터 등,033-582-7906,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,강원특별자치도 태백시장성동 169-1,37.10051315,129.0082172,,,,,
태백산 눈축제,태백산국립공원+황지연못 일원,2023-01-27,2023-01-31,눈조각대회+눈꽃등반대회+체험행사+공연 등,033-553-6900,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,강원특별자치도 태백시장성동 169-1,37.10051315,129.0082172,,,,,
국악의 향연,꽃바위문화관 3층 다목적공연장,2021-05-24,2021-05-24,국악,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,,,,,
리차드 로의 재즈톡,꽃바위문화관 3층 다목적공연장,2021-06-24,2021-06-24,재즈,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,,,,,
나 때는 말이야,꽃바위문화관 3층 다목적공연장,2021-07-22,2021-07-22,힙합,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,,,,,
2022 마임아카데미 몸짓워크숍,외일드 스튜디오+공지교~효자교 사이 산책로,2022-07-04,2022-07-28,아티스트에게 다양한 몸짓을 배우고 무대에서 공연까지 해보는 참여형 프로그램,033-244-7556,https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=2022+EBA788EC9E84EC9584ECB9B4EB8DB0EBAFB8+5BEBAAB8ECA793EC9B8CED81ACEC888D5D,강원도 춘천시 후석로186번길 22 지하 1층,강원도 춘천시 석사동 726-9 지하 1층,37.867857,127.725594,,,,,
완주와일드앤로컬푸드축제,고산자연휴양림일원,2023-10-06,2023-10-08,○ 자연친화+야생체험,063-290-3977+,http://www.wanjufestival.kr/,전라북도 완주군 고산면 고산자연휴양림로 246,전라북도 완주군 고산면 오산리 산43-1,,,,,,,
겨울왕국제천 페스티벌,의림지+제천시 일원,2023-12-01,2023-12-01,전시연출+대형얼음성+얼음조각체험+얼음터널,043-645-4998,,충청북도 제천시 의림대로47길 7,,,,,,,,
속리산 신화여행축제,속리산 잔디공원+법주사,2023-06-09,2023-06-11,축하공연+민속예술경연대회+천왕봉산신제+영신행차+속리산산채비빔밥체험+탑돌이재연+가족뮤지컬+치맥파티,043-540-3372,,충청북도 보은군 속리산면 법주사로 293,,,,,,,,
보은대추축제,뱃들공원 및 속리산 일원,2023-10-13,2023-10-22,농특산물 판매+축하공연+이벤트,043-540-3392,,충청북도 보은군 보은읍 뱃들로 54,,,,,,,,
제13회 남한강축제,법천소공원,2023-07-29,2023-07-30,문화예술공연+노래자랑 등,033-737-5630,,강원도 원주시 부론면 앙암로 1234,강원도 원주시 법천리 1575-1,37.20602239,127.7482249,,,,,
제36회 지용제,정지용 생가,2023-09-07,2023-09-10,초청공연+동요제+작가와의만남+노래자랑+향토음식경연대회+국제문화포럼+제25회정지용문학상시상식+제22회전국정지용백일장,043-733-5588,,충청북도 옥천군 옥천읍 향수길 56,,,,,,,,
영동곶감축제,영동체육관,2023-01-06,2023-01-08,개막식+지역문화공연+영동곶감한마음콘서트+신년음악회+농가노래자랑대회+어린이마술쇼,043-745-8912,,충청북도 영동군 영동황간로 122,,,,,,,,
영동포도축제,영동레인보우힐링관광지,2023-08-24,2023-08-27,포도따기 등 어린이 체험+개막식+농특산물판매장+우수과일종합전시+먹거리존,043-745-8918,,충청북도 영동군 영동읍 영동힐링로 117,,,,,,,,
제54회 영동난계국악축제,영동레인보우힐링관광지,2023-10-12,2023-10-15,난계국악단공연+종묘제례악+왕가의산책퍼포먼스+국악기제작 및 연주체험+전국난계국악경연대회+전국 정가 경창대회+천고타북식+숭모제+학술제,043-745-8917,,충청북도 영동군 영동읍 영동힐링로 117,,,,,,,,
제12회 대한민국와인축제,영동레인보우힐링관광지,2023-10-12,2023-10-15,와인 시음 및 판매+와인 족욕 등,043-745-8920,,충청북도 영동군 영동읍 영동힐링로 117,,,,,,,,
증평들노래축제,증평민속체험박물관,2023-06-10,2023-06-11,두레농요시연+줄타기 공연+전통문화공연+전국사진촬영대회+농경체험+전통음식체험+두레민복체험+오감체험+감자캐기+물고기잡기,043-835-4153,,충청북도 증평군 증평읍 둔덕길 89,,,,,,,,
증평인삼골축제,증평보강천체육공원 일원,2023-10-12,2023-10-15,주민화합행사+풍물경연대회+체험행사+농산물직거래장터+인삼판매,043-836-3400,,충청북도 증평군 증평읍 인삼로 23,,,,,,,,
제23회 생거진천 농다리축제,농다리 일원,2023-05-26,2023-05-28,농산물판매+체험부스+페이스페인팅+추억의 먹거리+공예마을+사생대회+백일장,043-533-2742,,충청북도 진천군 문백면 농다리로 1032-11,,,,,,,,
괴산고추축제,괴산유기농엑스포광장,2023-08-31,2023-09-03,개막식+키자니아 괴산+찾아가는 안전체험 마당+황금고추를찾아라+고추난타+고추물고기를잡아라+핫치맥페스티벌+농산물판매장,043-830-3463,,충청북도 괴산군 괴산읍 임꺽정로 92,,,,,,,,
제24회 음성품바축제,설성공원,2023-05-17,2023-05-21,품바왕선발대회+오늘의품바+품바뮤지컬+음성예술단공연+천인의엿치기+품바래퍼경연대회+품바가요제,043-873-2241,,충청북도 음성군 음성읍 설성공원길 28,,,,,,,,
2023 음성명작페스티벌,금왕금빛근린공원,2023-09-21,2023-09-24,평생학습 대축제+명작 운동회+드론쇼+평생학습체험거리+명작장터,043-873-0107,,충청북도 음성군 금왕읍 탑골7길 2,,,,,,,,
제42회 설성문화제,설성공원,2023-10-12,2023-10-15,염계달 연계 판소리 공연+무형문화재 공연+전국가수왕선발대회+사진전+출향인 고향의 밤+북한 음식 체험+북토크콘서트,043-872-4084,,충청북도 음성군 음성읍 설성공원길 28,,,,,,,,
제38회 소백산철쭉제,상상의거리,2023-05-31,2023-06-04,전국노래자랑+봄힐링콘서트+전국실버가요제+EDM페스티벌,043-420-2551,,충청북도 단양군 단양읍 수변로 111,,,,,,,,
2023 영동포도축제,레인보우힐링관광지,2023-08-24,2023-08-27,포도판매장+포도밟기+공연 등,043-745-8916,,충청북도 영동군 영동읍 동정로 1,,,,,,,,
2023 영동곶감축제,영동체육관 일원,2023-01-06,2023-01-08,"곶감판매장터, 체험프로그램 등",043-745-8916,,충청북도 영동군 영동읍 동정로 1,,,,,,,,
진해군항제,중원로터리 및 진해구 일원,2023-03-25,2023-04-03,추모대제+승전행사+불꽃쇼+문화예술행사,,,경상남도 창원시 진해구 진해대로 649,,35.15910822,128.6869245,,,,,
진해군악의장페스티벌,진해공설운동장,2023-03-31,2023-04-02,개막행사+주공연장 마칭공연+프린지공연,,,경상남도 창원시 진해구 충무로 43(도만동),,35.14836103,128.6554537,,,,,
마산국화축제,3.15해양누리공원,2023-10-28,2023-11-06,국화작품전시+공연,,,경상남도 창원시 마산합포구 해안대로 180,,35.19164153,128.5677047,,,,,
장수 한우랑 사과랑 축제,전라북도 장수군 의암공원 및 누리파크 일원,2022-10-27,2022-10-30,대표프로그램 등 7개분야 70여개 프로그램,063-350-2356,http://www.jangsufestival.com,전라북도 장수군 장수읍 한누리로 393,전라북도 장수군 장수읍 두산리 472,35.6411154,127.5181094,,,,,
도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,"분향례, 전폐례, 초헌례, 아헌례, 종헌례, 음복례 등 제례, 추모음악회",02-905-4026,,서울특별시 도봉구 도봉산길 90,,37.6853826,127.0325089,,,,,
도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",02-905-4026,,서울특별시 도봉구,,37.6864694,127.033968,,,,,
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",02-2091-4422,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,,,,,
2019 신안 섬 갯벌 축제,증도면 일원,2019-08-02,2019-08-11,"방송축하쇼+해상불꽃쇼문화행사+케이팝EDM페스타+갯벌콘서트+바다,갯벌스포츠 체험/키즈 워터파크 갯벌 놀이터+호핑투어+전국 카누대회+전국패들보드대회+전국 마라톤(달리기)대회+갯벌 스포츠 종목",,https://tour.shinan.go.kr/,전라남도 신안군 증도면 문준경길 459-2,,,,,,,,
섬 깡다리 축제,임자도,2023-05-19,2023-05-20,시식회+활어잡기+토굴체험,,https://tour.shinan.go.kr/,전라남도 신안군 임자면 전장포길 902,,,,,,,,
이천도자기축제,이천시 신둔면 예스파크,2023-04-26,2023-05-07,도자기전시+체험,031-636-2200,http://www.ceramic.or.kr,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,37.29309775,127.385686,,,,,
설봉산별빛축제,설봉공원야외대공연장,2023-07-15,2023-08-12,대중예술공연(총5회공연),031-634-7300,http://www.2000art.or.kr,경기도 이천시 경충대로2697번길 304,경기도 이천시 관고동 393-1,37.27792699,127.425921,,,,,
체험문화축제,예스파크,2023-04-08,2023-04-09,음식만들기+공예체험+스포츠 놀이체험,031-636-2723,http://www.2000green.com,경기도 이천시 신둔면 도자예술로5번길 109,경기도 이천시 신둔면 고척리 599-6,37.29309775,127.385686,,,,,
달서 맛 페스티벌,상화로 먹거리촌,2023-09-16,2023-09-16,"먹거리 골목 스토리를 담은 음식만들기 퍼포먼스+달서 대표 음식 전시,시식 등 홍보+버스킹 공연 및 체험부스 등",,,,대구광역시 달서구 상인동 1145-127,35.8088521,128.5465939,,,,,
달서 맛 페스티벌,젊코 음식문화거리,2023-10-07,2023-10-07,"먹거리 골목 스토리를 담은 음식만들기 퍼포먼스+달서 대표 음식 전시,시식 등 홍보+버스킹 공연 및 체험부스 등",,,,대구광역시 달서구 두류동 1298,35.85378512,128.5523565,,,,,
달서 맛 페스티벌,이곡으뜸길 음식문화거리,2023-10-14,2023-10-14,"먹거리 골목 스토리를 담은 음식만들기 퍼포먼스+달서 대표 음식 전시,시식 등 홍보+버스킹 공연 및 체험부스 등",,,,대구광역시 달서구 이곡동 1219,35.85292424,128.5048813,,,,,
다문화 한글 백일장,병암서원,2023-10-06,2023-10-06,시화 전시회 등,053-593-1511,https://dalseo.familynet.or.kr/center,대구광역시 달서구 새방로 21,대구광역시 달서구 용산동 521,35.86132506,128.5206615,,,,,
다문화축제,달서아트센터,2023-10-15,2023-10-15,다문화 어울림제,053-593-1511,https://dalseo.familynet.or.kr/center,대구광역시 달서구 문화회관길 160,대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,,,,,
두근두근페스티벌,계명문화대학교(문화광장),2023-09-14,2023-09-14,"결혼 콘텐츠 프로그램, 공연, 체험 및 홍보부스 등",053-667-3791,https://www.dalseo.daegu.kr,대구광역시 달서구 달서대로 675,대구광역시 달서구 신당동 700,35.8594593,128.4863475,,,,,
장미꽃 필(feel)무렵,이곡장미공원,2023-05-19,2023-05-21,움직이는 포토존 + 장미꽃 홍보단 + 장미 시화전 + 체험 프로그램 운영,053-584-9771,http://www.dscf.or.kr,,대구광역시 달서구 이곡동 1306-6,35.85779894,128.5147832,,,,,
희망달서 큰잔치,달서아트센터,2023-10-14,2023-10-15,희망가득체험부스 + 다문화 어울림제 + 축하 콘서트 등,053-584-9711,http://www.dscf.or.kr,대구광역시 달서구 문화회관길 160(장기동),대구광역시 달서구 장기동 722-1,35.84342427,128.5228246,,,,,
선사문화체험축제,한샘청동공원,2023-05-12,2023-05-13,선사테마축제 및 체험프로그램 운영 등,053-667-2191,http://artko16.netto.kr/,,대구광역시 달서구 대천동 353-5,35.81951349,128.5187423,,,,,
제1회 상록수문화제,상록수공원 및 샘골로 일대,2013-08-31,2013-08-31,기념음악회+체험박람회+작품발표회+사생대회 등,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,,,,,
제2회 상록수문화제,상록수공원 및 샘골로 일대,2014-09-27,2014-09-27,기념음악회+체험박람회+작품발표회+사생대회 등,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,경기도 안산시 상록구 샘골서길 64,경기도 안산시 상록구 본오동 879-4,37.299644,126.8627402,,,,,
안산국제거리극축제,안산시 문화광장,2015-05-01,2015-05-03,순수예술축제,031-481-4030,https://www.ansanart.com/index.do,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,,,,,
괴산대학찰옥수수축제,유기농엑스포광장,2022-07-22,2022-07-24,"옥수수체험 관련 온-오프라인 행사, 농특산물 판매 등",043-830-3463,,충청북도 괴산군 괴산읍 임꺽정로 75,,,,,,,,
괴산고추축제,유기농엑스포광장+관내 캠핑장 등,2022-08-26,2022-09-04,"고추관련 온-오프 행사, 고추 및 농특산물 판매 등",043-830-3462,,충청북도 괴산군 괴산읍 임꺽정로 75,,,,,,,,
괴산김장축제,유기농엑스포광장,2022-11-04,2022-11-06,괴산절임배추 활용 김장체험 및 농특산물 판매 등,043-830-3464,,충청북도 괴산군 괴산읍 임꺽정로 75,,,,,,,,
감물감자축제,농촌중심지 활성화 광장,2022-06-17,2022-06-18,농특산물(감자) 홍보 및 지역홍보,043-830-2432,,충청북도 괴산군 감물면 충민로신대길 13,,,,,,,,
괴산사랑축제,괴산전통시장 내,2022-08-01,2022-08-11,주민화합,043-830-2403,,충청북도 괴산군 괴산읍 읍내로15길 8-8,,,,,,,,
목도 백중놀이 축제,불정면사무소 광장 일원,2022-08-12,2022-08-12,목도 백중놀이 문화 체험 및 지역홍보,043-830-2621,,충청북도 괴산군 불정면 목도로2길 11,,,,,,,,
文美貪,춘천미술관 2F,2022-02-27,2022-03-08,가장 먼저 시들지 않는 꽃으로 봄을 알려 마음의 봄 향기를 넣어줄 전시,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10209&search_type=1&search_keyword=E69687.E7BE8E.E8B2AA,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.731341,,,,,
Your Body,후용공연예술센터,2022-02-24,2022-02-26,전쟁으로 인한 트라우마를 가진 몸의 자우와 평화를 찾는 전쟁연작,033-732-0827,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10202&search_type=1&search_keyword=Your+Body,강원도 원주시 문막읍 비야동길 11,강원도 원주시 문막읍 후용리 389,37.273986,127.802217,,,,,
마임프린지,축제극장몸짓,2022-03-03,2022-03-05,신진예술가들의 자유로운 창작 공연,033-244-7556,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7624&search_type=1&search_keyword=EBA788EC9E84ED9484EBA6B0ECA780,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531,37.873069,127.727824,,,,,
제7회 도심 속 바다축제,노량진수산시장 일대,2019-10-12,2019-10-13,바다콘서트+맨손활어잡기+모의경매+루프탑 파티+먹거리장터 등,02-823-9330,,서울특별시 동작구 노들로 674,서울특별시 동작구 노량진동 13-6,37.51482396,126.9379739,,,,,
도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",02-905-4026,,서울특별시 도봉구,,37.6864694,127.033968,,,,,
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",02-2091-4422,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,,,,,
